Year,Month,Day,Hour,Minute,DNI,Wind Speed
2019,1,30,15,30,0,8.3
2019,1,30,16,30,19,9.200000000000001
2019,1,30,17,30,0,8.9
2019,1,30,18,30,0,8.5
2019,1,30,19,30,0,7.800000000000001
2019,1,30,20,30,0,7.1000000000000005
2019,1,30,21,30,0,6.4
2019,1,30,22,30,0,5.6000000000000005
2019,1,30,23,30,0,5.1000000000000005
2019,1,31,0,30,0,4.800000000000001
2019,1,31,1,30,0,4.800000000000001
2019,1,31,2,30,0,5
2019,1,31,3,30,0,5.1000000000000005
2019,1,31,4,30,0,5.2
2019,1,31,5,30,0,5.1000000000000005
2019,1,31,6,30,0,5
2019,1,31,7,30,64,5
2019,1,31,8,30,659,5
2019,1,31,9,30,824,4.7
2019,1,31,10,30,795,4.5
2019,1,31,11,30,924,4.3
2019,1,31,12,30,932,4.2
2019,1,31,13,30,925,4.4
2019,1,31,14,30,891,4.6000000000000005
2019,1,31,15,30,808,4.7
2019,1,31,16,30,454,4.800000000000001
2019,1,31,17,30,0,4.800000000000001
2019,1,31,18,30,0,4.800000000000001
2019,1,31,19,30,0,4.5
2019,1,31,20,30,0,4.2
